id;wid;nama;nm_project;deskripsi_project;iddesa;latitude;longitude;accuracy;status;kode_kategori;kategori_landmark;kode_landmark_tipe;tipe_landmark;user_created_at;user_upload_at;user_creator_nama;photo_url
90138426;HPGMWO;SALURAN IRIGASI;0031;RT 005 RW 001 DUSUN SUKAMULYA;3207100009;-7.4844202;108.6019926;3.9119999408722;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-01 10:20:03;2025-08-01 16:58:52;Ade Rohmah;https://wilkerstat.bps.go.id/api/landmark/90138426/photo
89931899;HOUTJF;SALURAN IRIGASI;0032;RT 006 RW 001 DUSUN SUKAMULYA;3207100009;-7.4843209;108.6019526;4.3060002326965;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-01 10:10:35;2025-08-01 10:10:41;Ade Rohmah;https://wilkerstat.bps.go.id/api/landmark/89931899/photo
90370941;HPTSVL;RUMAH BPK. ENCENG;0033;RT 001 RW 002 DUSUN SUKAMULYA;3207100009;-7.4797661136978;108.59588116407;4.4060001373291;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-02 11:16:47;2025-08-02 11:16:50;Ade Rohmah;https://wilkerstat.bps.go.id/api/landmark/90370941/photo
90416760;HPWIPS;BENDUNGAN SUNGAI CIPUTRA HAJI;0033;RT 001 RW 002 DUSUN SUKAMULYA;3207100009;-7.4812754;108.5955473;4.0040001869202;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-02 11:33:04;2025-08-02 12:03:58;Ade Rohmah;https://wilkerstat.bps.go.id/api/landmark/90416760/photo
91145523;HRLURB;RUMAH IBU WASILAH;0033;RT 001 RW 002 DUSUN SUKAMULYA;3207100009;-7.4800521;108.5988576;4.9470000267029;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-03 15:09:03;2025-08-03 15:09:05;Ade Rohmah;https://wilkerstat.bps.go.id/api/landmark/91145523/photo
91178055;HRNQUH;BATAS 3 : KEBUN BAPAK H. PENO;0033;RT 001 RW 002 DUSUN SUKAMULYA;3207100009;-7.4792415495304;108.59786499292;3.789999961853;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-03 15:44:31;2025-08-03 15:44:34;Ade Rohmah;https://wilkerstat.bps.go.id/api/landmark/91178055/photo
89927787;HOUNHB;A;0034;RT 002 RW 002 DUSUN SUKAMULYA;3207100009;-7.4841312;108.6017817;13.758999824524;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-01 09:40:45;2025-08-01 09:41:46;Ade Rohmah;https://wilkerstat.bps.go.id/api/landmark/89927787/photo
90415452;HPWGRK;SUNGAI CIPUTRA HAJI;0034;RT 002 RW 002 DUSUN SUKAMULYA;3207100009;-7.4797245607925;108.59578661621;4.2909998893738;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-02 11:14:02;2025-08-02 12:02:19;Ade Rohmah;https://wilkerstat.bps.go.id/api/landmark/90415452/photo
91174652;HRNLTK;BATAS 2 : SDN 2 SUKASARI;0034;RT 002 RW 002 DUSUN SUKAMULYA;3207100009;-7.4796683812581;108.59802626073;3.0209999084473;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-03 15:40:46;2025-08-03 15:40:49;Ade Rohmah;https://wilkerstat.bps.go.id/api/landmark/91174652/photo
91188409;HROGCN;BATAS 3 : SUNGAI CIPUTRAHAJI;0034;RT 002 RW 002 DUSUN SUKAMULYA;3207100009;-7.4779537385013;108.59875246882;3.7160000801086;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-03 15:55:08;2025-08-03 15:55:11;Ade Rohmah;https://wilkerstat.bps.go.id/api/landmark/91188409/photo
90390244;HPUVJW;SUNGAI CIPUTRAHAJI;0035;RT 003 RW 002 DUSUN SUKAMULYA;3207100009;-7.4813092;108.595559;3.9210000038147;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-02 11:34:59;2025-08-02 11:35:01;Ade Rohmah;https://wilkerstat.bps.go.id/api/landmark/90390244/photo
90398225;HPVHEV;BATAS 2 : RUMAH BAPAK RIZKI;0035;RT 003 RW 002 DUSUN SUKAMULYA;3207100009;-7.4816333309687;108.59643604606;4.3049998283386;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-02 11:42:42;2025-08-02 11:43:16;Ade Rohmah;https://wilkerstat.bps.go.id/api/landmark/90398225/photo
91137314;HRLINI;BATAS 3: GANG BELAKANG SINAR ABADI;0035;RT 003 RW 002 DUSUN SUKAMULYA;3207100009;-7.4806859277974;108.59905455261;4.9650001525879;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-03 15:00:20;2025-08-03 15:00:24;Ade Rohmah;https://wilkerstat.bps.go.id/api/landmark/91137314/photo
91141993;HRLPLH;BATAS 4: RUMAH BAPAK OJO;0035;RT 003 RW 002 DUSUN SUKAMULYA;3207100009;-7.4800224119305;108.59885238111;4.9759998321533;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-03 15:05:14;2025-08-03 15:05:16;Ade Rohmah;https://wilkerstat.bps.go.id/api/landmark/91141993/photo
90405458;HPVRXA;BATAS 1 : RUMAH BPK. M KAHMAD;0036;RT 004 RW 002 DUSUN SUKAMULYA;3207100009;-7.4816273473761;108.5964538157;3.7070000171661;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-02 11:50:42;2025-08-02 11:50:44;Ade Rohmah;https://wilkerstat.bps.go.id/api/landmark/90405458/photo
91135223;HRLFKX;BATAS 4: HENDRI CELL;0036;RT 004 RW 002 DUSUN SUKAMULYA;3207100009;-7.480663323065;108.59844066203;3.808000087738;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-03 14:57:30;2025-08-03 14:57:35;Ade Rohmah;https://wilkerstat.bps.go.id/api/landmark/91135223/photo
91741563;HSTSJR;WARUNG DK;0016;RT 002 RW 001 DUSUN CIKOHKOL;3207100009;-7.4807761;108.6023219;6.5570001602173;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-04 15:45:52;2025-08-04 15:45:55;Ani Apriani;https://wilkerstat.bps.go.id/api/landmark/91741563/photo
91750270;HSUFGO;WARUNG IBU HUMSIAH;0016;RT 002 RW 001 DUSUN CIKOHKOL;3207100009;-7.4806261;108.602519;3.9809999465942;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-04 15:53:24;2025-08-04 15:53:26;Ani Apriani;https://wilkerstat.bps.go.id/api/landmark/91750270/photo
91769965;HSVIKB;RUMAH PA TASRIP;0016;RT 002 RW 001 DUSUN CIKOHKOL;3207100009;-7.4802658;108.6039081;3.8499999046326;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-04 16:09:46;2025-08-04 16:09:48;Ani Apriani;https://wilkerstat.bps.go.id/api/landmark/91769965/photo
91811178;HSXRJE;RUMAH BU IKA;0016;RT 002 RW 001 DUSUN CIKOHKOL;3207100009;-7.4816152;108.603749;5.6490001678467;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-04 16:42:32;2025-08-04 16:42:34;Ani Apriani;https://wilkerstat.bps.go.id/api/landmark/91811178/photo
91812996;HSXUBC;TRI JAYA MOTOR;0016;RT 002 RW 001 DUSUN CIKOHKOL;3207100009;-7.4816087;108.60265;4.8740000724792;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-04 16:44:00;2025-08-04 16:44:02;Ani Apriani;https://wilkerstat.bps.go.id/api/landmark/91812996/photo
91774346;HSVOWO;RUMAH BAPA NONO;0017;RT 003 RW 001 DUSUN CIKOHKOL;3207100009;-7.4801744;108.6042569;3.8789999485016;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-04 16:13:22;2025-08-04 16:13:24;Ani Apriani;https://wilkerstat.bps.go.id/api/landmark/91774346/photo
91786157;HSWGIV;RUMAH BAPA ISRO MIHARJO;0017;RT 003 RW 001 DUSUN CIKOHKOL;3207100009;-7.4785125;108.6029905;4.6180000305176;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-04 16:22:51;2025-08-04 16:22:53;Ani Apriani;https://wilkerstat.bps.go.id/api/landmark/91786157/photo
91790986;HSWNMO;TKIT ASSALAM;0017;RT 003 RW 001 DUSUN CIKOHKOL;3207100009;-7.4800431;108.6030649;4.2049999237061;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-04 16:26:42;2025-08-04 16:26:44;Ani Apriani;https://wilkerstat.bps.go.id/api/landmark/91790986/photo
91803464;HSXFYM;KEBUN PJKA;0017;RT 003 RW 001 DUSUN CIKOHKOL;3207100009;-7.478588;108.6039864;3.8770000934601;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-04 16:36:26;2025-08-04 16:36:29;Ani Apriani;https://wilkerstat.bps.go.id/api/landmark/91803464/photo
91149739;HRMAXF;BATAS 1 : RUMAH BAPAK UJANG;0037;RT 005 RW 002 DUSUN SUKAMULYA;3207100009;-7.4803072983757;108.59894458205;4.6389999389648;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-03 15:13:24;2025-08-03 15:13:27;Ade Rohmah;https://wilkerstat.bps.go.id/api/landmark/91149739/photo
91157515;HRMMKH;BATAS 2 : RUMAH BAPAK H.HOLIL;0037;RT 005 RW 002 DUSUN SUKAMULYA;3207100009;-7.4800686187295;108.60126033425;3.789999961853;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-03 15:22:08;2025-08-03 15:22:10;Ade Rohmah;https://wilkerstat.bps.go.id/api/landmark/91157515/photo
91166604;HRMZVW;SUNGAI CIPITRAHAJI;0037;RT 005 RW 002 DUSUN SUKAMULYA;3207100009;-7.4785149;108.6011538;3.2650001049042;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-03 15:31:54;2025-08-03 15:31:56;Ade Rohmah;https://wilkerstat.bps.go.id/api/landmark/91166604/photo
91794699;HSWSZJ;GEDUNG YAYASAN ASSALAM;0019;RT 005 RW 001 DUSUN CIKOHKOL;3207100009;-7.480084;108.603082;3.789999961853;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-04 16:29:40;2025-08-04 16:29:41;Ani Apriani;https://wilkerstat.bps.go.id/api/landmark/91794699/photo
91770670;HSVJLE;BATAS 2:RUMAH BPK UJANG;0015;RT 001 RW 001 DUSUN CIKOHKOL;3207100009;-7.4801824;108.6040098;4.938000202179;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-04 16:10:23;2025-08-04 16:10:25;Maria Ulfah Hasanah;https://wilkerstat.bps.go.id/api/landmark/91770670/photo
91808931;HSXOAT;BATAS 1: RUMAH SAS LAMA;0015;RT 001 RW 001 DUSUN CIKOHKOL;3207100009;-7.4816083;108.603905;2;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-04 16:40:43;2025-08-04 16:40:44;Maria Ulfah Hasanah;https://wilkerstat.bps.go.id/api/landmark/91808931/photo
89938623;HOVDHV;BATAS 1 RT.012 RW.003 RUMAH BP H. DEDI SOBANDI;0012;RT. 012 RW. 003 DUSUN BATUKURUNG;3207100011;-7.5160253304384;108.62424317747;2.9000000953674;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-01 10:39:19;2025-08-01 10:39:22;TUTI AGUSTINI;https://wilkerstat.bps.go.id/api/landmark/89938623/photo
89958371;HOWGNJ;BATAS 2 RT 012 RW. 003 RUMAH BP. RASLI;0012;RT. 012 RW. 003 DUSUN BATUKURUNG;3207100011;-7.5157946478724;108.62314213067;3;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-01 11:09:56;2025-08-01 11:09:59;TUTI AGUSTINI;https://wilkerstat.bps.go.id/api/landmark/89958371/photo
89960066;HOWJAO;BATAS 3 RT.012 RW.003 SUNGAI CIKAWASEN;0012;RT. 012 RW. 003 DUSUN BATUKURUNG;3207100011;-7.5173851584635;108.62300164998;2.5499999523163;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-01 11:12:43;2025-08-01 11:12:46;TUTI AGUSTINI;https://wilkerstat.bps.go.id/api/landmark/89960066/photo
89965241;HOWQRP;BATAS 4 RT 012 RW 003 SUNGAI CIKAWASEN;0012;RT. 012 RW. 003 DUSUN BATUKURUNG;3207100011;-7.5166542223448;108.6252483353;2.4159998893738;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-01 11:22:07;2025-08-01 11:22:12;TUTI AGUSTINI;https://wilkerstat.bps.go.id/api/landmark/89965241/photo
90906956;HQYFTK;BATAS 2 RT 010 RW 003 RUMAH BP. ANGGI;0012;RT. 012 RW. 003 DUSUN BATUKURUNG;3207100011;-7.516676;108.6245915;3.25;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-03 10:27:09;2025-08-03 10:27:28;TUTI AGUSTINI;https://wilkerstat.bps.go.id/api/landmark/90906956/photo
90907276;HQYGFS;BATAS 2 RT 010 RW 003 RUMAH BP. ANGGI;0012;RT. 012 RW. 003 DUSUN BATUKURUNG;3207100011;-7.516676;108.6245915;3.25;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-03 10:27:30;2025-08-03 10:27:45;TUTI AGUSTINI;https://wilkerstat.bps.go.id/api/landmark/90907276/photo
89934581;HOUXIJ;BATAS 1 RT 011 RW. 003 LAPANG VOLLY H. BANDI;0011;RT. 011 RW. 003 DUSUN BATUKURUNG;3207100011;-7.5159691555885;108.62423177809;3.0999999046326;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-01 10:33:27;2025-08-01 10:33:30;TUTI AGUSTINI;https://wilkerstat.bps.go.id/api/landmark/89934581/photo
90460664;HPYVOI;BATAS 2 RTM 011 RW. 003 SAWAH BP. SAEH;0011;RT. 011 RW. 003 DUSUN BATUKURUNG;3207100011;-7.5155117790254;108.62261038274;2.2000000476837;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-02 13:05:57;2025-08-02 13:05:59;TUTI AGUSTINI;https://wilkerstat.bps.go.id/api/landmark/90460664/photo
90462197;HPYXVH;BATAS 3 RT. 011 RW. 003 IRIGASI;0011;RT. 011 RW. 003 DUSUN BATUKURUNG;3207100011;-7.5149247674109;108.62289637327;3.25;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-02 13:08:19;2025-08-02 13:08:21;TUTI AGUSTINI;https://wilkerstat.bps.go.id/api/landmark/90462197/photo
90466729;HPZENP;BATAS 4 RT.011 RW. 003 SAWAH H DESI SOBANDI;0011;RT. 011 RW. 003 DUSUN BATUKURUNG;3207100011;-7.5147924736306;108.62428475171;2.0620000362396;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-02 13:14:50;2025-08-02 13:14:52;TUTI AGUSTINI;https://wilkerstat.bps.go.id/api/landmark/90466729/photo
