id;wid;nama;nm_project;deskripsi_project;iddesa;latitude;longitude;accuracy;status;kode_kategori;kategori_landmark;kode_landmark_tipe;tipe_landmark;user_created_at;user_upload_at;user_creator_nama;photo_url
89896673;HOSTGJ;BATAS 1 NON SLS;2001;HUTAN;3215010001;-6.542575;107.1774072;3;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-01 06:47:17;2025-08-01 06:47:21;Nurdiantoro;https://wilkerstat.bps.go.id/api/landmark/89896673/photo
89896751;HOSTJJ;BATAS 1 RT 001 RW 001;0001;RT 001 RW 001 DUSUN 1;3215010001;-6.5426233890517;107.17748779804;1.5;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-01 06:49:34;2025-08-01 06:49:37;Nurdiantoro;https://wilkerstat.bps.go.id/api/landmark/89896751/photo
89906873;HOTIIR;BATAS 3 RT 001 RW 001;0001;RT 001 RW 001 DUSUN 1;3215010001;-6.535831584859;107.18051433563;1.5;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-01 08:33:18;2025-08-01 08:33:21;Nurdiantoro;https://wilkerstat.bps.go.id/api/landmark/89906873/photo
89912708;HOTQZC;BATAS 4 RT 001 RW 001;0001;RT 001 RW 001 DUSUN 1;3215010001;-6.5352030301938;107.17628918588;3.0829999446869;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-01 08:55:11;2025-08-01 08:55:14;Nurdiantoro;https://wilkerstat.bps.go.id/api/landmark/89912708/photo
91902802;HTCWXE;BATAS 2 RT 001 RW 001;0001;RT 001 RW 001 DUSUN 1;3215010001;-6.5389716;107.1821435;2.8889999389648;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-02 11:09:46;2025-08-04 23:03:26;Nurdiantoro;https://wilkerstat.bps.go.id/api/landmark/91902802/photo
89906596;HOTHYA;BATAS 2 RT 002 RW 001;0002;RT 002 RW 001 DUSUN 1;3215010001;-6.5357224;107.1804832;1.5;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-01 08:32:04;2025-08-01 08:32:06;Nurdiantoro;https://wilkerstat.bps.go.id/api/landmark/89906596/photo
89913382;HOTRZA;BATAS 1 RT 002 RW 001;0002;RT 002 RW 001 DUSUN 1;3215010001;-6.5350757869169;107.17624761164;4.7030000686646;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-01 08:57:21;2025-08-01 08:57:23;Nurdiantoro;https://wilkerstat.bps.go.id/api/landmark/89913382/photo
89933053;HOUVBP;BATAS 3 RT 002 RW 001;0002;RT 002 RW 001 DUSUN 1;3215010001;-6.5275589;107.1769963;2;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-01 10:28:49;2025-08-01 10:29:05;Nurdiantoro;https://wilkerstat.bps.go.id/api/landmark/89933053/photo
89948398;HOVRTU;BATAS 3 RT 002 RW 001;0002;RT 002 RW 001 DUSUN 1;3215010001;-6.5317727;107.1790664;1.5;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-01 10:48:13;2025-08-01 10:53:53;Nurdiantoro;https://wilkerstat.bps.go.id/api/landmark/89948398/photo
89949434;HOVTHQ;BATAS 4 RT 002 RW 001;0002;RT 002 RW 001 DUSUN 1;3215010001;-6.5275589;107.1769963;2;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-01 10:29:13;2025-08-01 10:55:33;Nurdiantoro;https://wilkerstat.bps.go.id/api/landmark/89949434/photo
89949664;HOVTQM;BATAS 5 RT 002 RW 001;0002;RT 002 RW 001 DUSUN 1;3215010001;-6.5284624229439;107.17469695956;2;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-01 10:11:42;2025-08-01 10:56:00;Nurdiantoro;https://wilkerstat.bps.go.id/api/landmark/89949664/photo
91902827;HTCWYD;BATAS 4 RT 003 RW 001;0003;RT 003 RW 001 DUSUN 1;3215010001;-6.5287239079677;107.17904482037;2;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-01 10:40:27;2025-08-04 23:04:51;Nurdiantoro;https://wilkerstat.bps.go.id/api/landmark/91902827/photo
