id;wid;nama;nm_project;deskripsi_project;iddesa;latitude;longitude;accuracy;status;kode_kategori;kategori_landmark;kode_landmark_tipe;tipe_landmark;user_created_at;user_upload_at;user_creator_nama;photo_url
91943400;HTFEYQ;RUMAH BAPAK ACU;0018;RT 004 RW 005;3278010001;-7.4130812564423;108.18810291588;2.0999999046326;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-05 08:35:01;2025-08-05 08:35:05;AYU JUHROTUS SOPIAH;https://wilkerstat.bps.go.id/api/landmark/91943400/photo
91944426;HTFGMC;RUMAH KOSONG H. AMUT;0018;RT 004 RW 005;3278010001;-7.4131652;108.1879577;1.7999999523163;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-05 08:36:51;2025-08-05 08:36:52;AYU JUHROTUS SOPIAH;https://wilkerstat.bps.go.id/api/landmark/91944426/photo
91946294;HTFJFY;RUMAH IBU SUMARSIH;0018;RT 004 RW 005;3278010001;-7.4137774;108.1874763;4.1890001296997;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-05 08:40:01;2025-08-05 08:40:02;AYU JUHROTUS SOPIAH;https://wilkerstat.bps.go.id/api/landmark/91946294/photo
91947429;HTFKXP;RUMAH IBU TITI;0018;RT 004 RW 005;3278010001;-7.4138368;108.1877519;1.6000000238419;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-05 08:41:49;2025-08-05 08:41:50;AYU JUHROTUS SOPIAH;https://wilkerstat.bps.go.id/api/landmark/91947429/photo
91949557;HTFOBL;HELLER BAPAK SARIPIN;0019;RT 005 RW 005;3278010001;-7.4140084;108.1884246;1.6000000238419;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-05 08:45:08;2025-08-05 08:45:09;AYU JUHROTUS SOPIAH;https://wilkerstat.bps.go.id/api/landmark/91949557/photo
91953644;HTFUCQ;WALUNGAN;0019;RT 005 RW 005;3278010001;-7.4136667;108.1886033;2.2839999198914;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-05 08:51:09;2025-08-05 08:51:10;AYU JUHROTUS SOPIAH;https://wilkerstat.bps.go.id/api/landmark/91953644/photo
91957162;HTFZHY;RUMAH BAPAK DEDE;0019;RT 005 RW 005;3278010001;-7.4131789;108.1880573;1.9340000152588;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-05 08:56:03;2025-08-05 08:56:05;AYU JUHROTUS SOPIAH;https://wilkerstat.bps.go.id/api/landmark/91957162/photo
91961073;HTGFCJ;RUMAH IBU EPON;0019;RT 005 RW 005;3278010001;-7.4131444;108.1884481;2.7839999198914;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-05 09:01:16;2025-08-05 09:01:17;AYU JUHROTUS SOPIAH;https://wilkerstat.bps.go.id/api/landmark/91961073/photo
91962321;HTGGYJ;RUMAH H MAHRUDIN;0019;RT 005 RW 005;3278010001;-7.4130711;108.1881083;3.989000082016;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-05 09:02:54;2025-08-05 09:02:54;AYU JUHROTUS SOPIAH;https://wilkerstat.bps.go.id/api/landmark/91962321/photo
90045593;HPBFOB;RUMAH BPK NANA W;0022;RT 001 RW 006;3278010001;-7.4123684320407;108.18721175194;2;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-01 10:20:38;2025-08-01 14:39:52;AYU JUHROTUS SOPIAH;https://wilkerstat.bps.go.id/api/landmark/90045593/photo
90045750;HPBFUC;RUMAH BPK IBAY M;0022;RT 001 RW 006;3278010001;-7.4129136896158;108.18635378033;2.0999999046326;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-01 10:14:17;2025-08-01 14:40:07;AYU JUHROTUS SOPIAH;https://wilkerstat.bps.go.id/api/landmark/90045750/photo
90046735;HPBHFZ;RUMAH IBU KIKIM;0022;RT 001 RW 006;3278010001;-7.4131012048698;108.18713162094;1.8999999761581;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-01 10:17:30;2025-08-01 14:41:39;AYU JUHROTUS SOPIAH;https://wilkerstat.bps.go.id/api/landmark/90046735/photo
91164087;HRMWDB;SAWAH BPK MAMUR;0022;RT 001 RW 006;3278010001;-7.4119524;108.1844075;2.0999999046326;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-03 15:29:10;2025-08-03 15:29:12;AYU JUHROTUS SOPIAH;https://wilkerstat.bps.go.id/api/landmark/91164087/photo
91603507;HSLWDV;SAWAH BPK NANA;0022;RT 001 RW 006;3278010001;-7.4118886713111;108.18407692015;1.3999999761581;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-04 13:26:32;2025-08-04 13:26:34;AYU JUHROTUS SOPIAH;https://wilkerstat.bps.go.id/api/landmark/91603507/photo
90238086;HPMEHQ;RUMAH IBU YENI;0023;RT 002 RW 006;3278010001;-7.4130799265471;108.18713262677;2.5999999046326;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-02 09:05:55;2025-08-02 09:05:56;AYU JUHROTUS SOPIAH;https://wilkerstat.bps.go.id/api/landmark/90238086/photo
